04_orf01361_rev 16_orf10789
04_orf06139_rev 16_orf00521_rev
04_orf10022 16_orf08963
04_orf05838_rev 16_orf10856_rev
04_orf11283 16_orf04398_rev
04_orf04110 16_orf02988
04_orf08434 16_orf01617
04_orf01529 16_orf05715
04_orf07074 16_orf03812_rev
04_orf00586 16_orf04003
04_orf01080 16_orf10753
04_orf03645_rev 16_orf04588
04_orf08368_rev 16_orf10678_rev
04_orf10234_rev 16_orf10432
04_orf02970 16_orf12115
04_orf09661_rev 16_orf01062
04_orf11172 16_orf08397_rev
04_orf15303 16_orf05559_rev
04_orf14406 16_orf07578_rev
04_orf00472_rev 16_orf03853
04_orf01129 16_orf02159_rev
04_orf13567_rev 16_orf11743_rev
04_orf13468_rev 16_orf00523_rev
04_orf08205_rev 16_orf10783_rev
04_orf05372_rev 16_orf04846_rev
04_orf15156_rev 16_orf05844
04_orf00083 16_orf05722
04_orf08379 16_orf10675_rev
04_orf09296_rev 16_orf04235_rev
04_orf05478_rev 16_orf07710
04_orf01353_rev 16_orf02931
04_orf16859_rev 16_orf05493_rev
04_orf09627 16_orf08978_rev
04_orf04929 16_orf12339
04_orf02335_rev 16_orf10581
04_orf16871_rev 16_orf01378
04_orf02561_rev 16_orf09675
04_orf03010_rev 16_orf06902_rev
04_orf02330_rev 16_orf04513
04_orf13691_rev 16_orf05229
04_orf08701_rev 16_orf06541
04_orf15575_rev 16_orf12593
04_orf01245 16_orf09464
04_orf07654_rev 16_orf09720_rev
04_orf13500 16_orf02628_rev
04_orf00611 16_orf11785
04_orf13019_rev 16_orf09066_rev
04_orf08316 16_orf09380_rev
04_orf01218 16_orf01040
04_orf12554 16_orf04102_rev
04_orf03067_rev 16_orf09165
04_orf07469 16_orf02204_rev
04_orf04102_rev 16_orf05750_rev
04_orf12602 16_orf10726
04_orf07262 16_orf06088
04_orf07535 16_orf07284
04_orf05912 16_orf05299_rev
04_orf10887_rev 16_orf02013
04_orf08177_rev 16_orf06053
04_orf07040 16_orf02531
04_orf02773_rev 16_orf06838_rev
04_orf01562_rev 16_orf06923
04_orf12973_rev 16_orf02277_rev
04_orf04438 16_orf10935
04_orf05437_rev 16_orf05745_rev
04_orf10221 16_orf00838_rev
04_orf05564_rev 16_orf05774_rev
04_orf01863_rev 16_orf06376
04_orf14788 16_orf02042_rev
04_orf10781 16_orf07769
04_orf06376_rev 16_orf03487
04_orf11032 16_orf04189
04_orf08309_rev 16_orf11316_rev
04_orf07557 16_orf01476_rev
04_orf01866_rev 16_orf05732
04_orf01745 16_orf03170
04_orf03590 16_orf01849
04_orf02711 16_orf05484_rev
04_orf15518 16_orf07042
04_orf01178 16_orf04122
04_orf11087 16_orf00313_rev
04_orf01575 16_orf08403_rev
04_orf09317_rev 16_orf08891
04_orf04511 16_orf05657_rev
04_orf00119 16_orf05334
