yourlist:M20170427F725F458AC8690F874DD868E4ED79B88B1B382Z	isomap:M20170427F725F458AC8690F874DD868E4ED79B88B1B382Z	Entry	Entry name		Protein names	Gene names	Organism	Length
ABCB7		A0A087WW65	A0A087WW65_HUMAN	unreviewed	ATP-binding cassette sub-family B member 7, mitochondrial	ABCB7	Homo sapiens (Human)	713
ABCB7		A0A0S2Z2W5	A0A0S2Z2W5_HUMAN	unreviewed	ATP-binding cassette sub-family B member 7 isoform 3	ABCB7	Homo sapiens (Human)	498
ABCB7		A0A0S2Z2Z3	A0A0S2Z2Z3_HUMAN	unreviewed	ATP-binding cassette sub-family B member 7 isoform 1 (ATP-binding cassette, sub-family B (MDR/TAP), member 7, isoform CRA_e) (Fragment)	ABCB7 hCG_19369	Homo sapiens (Human)	753
ABCB7		A0A0S2Z367	A0A0S2Z367_HUMAN	unreviewed	ATP-binding cassette sub-family B member 7 isoform 4 (Fragment)	ABCB7	Homo sapiens (Human)	275
ABCB7		A0A0S2Z376	A0A0S2Z376_HUMAN	unreviewed	ATP-binding cassette sub-family B member 7 isoform 5	ABCB7	Homo sapiens (Human)	126
ABCB7		B4DGL8	B4DGL8_HUMAN	unreviewed	ATP-binding cassette sub-family B member 7, mitochondrial (cDNA FLJ53391, highly similar to ATP-binding cassette sub-family B member 7, mitochondrial) (Fragment)	ABCB7	Homo sapiens (Human)	702
ABCB7		E9PJR8	E9PJR8_HUMAN	unreviewed	ATP-binding cassette sub-family B member 7, mitochondrial (Fragment)	ABCB7	Homo sapiens (Human)	188
ABCB7		E9PNQ5	E9PNQ5_HUMAN	unreviewed	ATP-binding cassette sub-family B member 7, mitochondrial (Fragment)	ABCB7	Homo sapiens (Human)	171
ABCB7		O75027	ABCB7_HUMAN	reviewed	ATP-binding cassette sub-family B member 7, mitochondrial (ATP-binding cassette transporter 7) (ABC transporter 7 protein)	ABCB7 ABC7	Homo sapiens (Human)	752
ACAA1		A0A024R2M6	A0A024R2M6_HUMAN	unreviewed	Acetyl-Coenzyme A acyltransferase 1 (Peroxisomal 3-oxoacyl-Coenzyme A thiolase), isoform CRA_a	ACAA1 hCG_42425	Homo sapiens (Human)	424
