yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC136P	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC136P	Entry	Entry name		Protein names	Gene names	Organism	Length
ABCC1		A0A0A0MS99	A0A0A0MS99_HUMAN	unreviewed	Multidrug resistance-associated protein 1	ABCC1	Homo sapiens (Human)	1215
ABCC1		G0ZCM3	G0ZCM3_HUMAN	unreviewed	ATP-binding cassette transporter variant ABCC1delta-ex13 (Fragment)	ABCC1	Homo sapiens (Human)	121
ABCC1		G0ZCM4	G0ZCM4_HUMAN	unreviewed	ATP-binding cassette transporter variant ABCC1delta-ex13&14 (Fragment)	ABCC1	Homo sapiens (Human)	92
ABCC1		G0ZCM5	G0ZCM5_HUMAN	unreviewed	ATP-binding cassette transporter variant ABCC1delta-ex25&26 (Fragment)	ABCC1	Homo sapiens (Human)	113
ABCC1		G0ZCM6	G0ZCM6_HUMAN	unreviewed	ATP-binding cassette transporter variant ABCC1delta-ex25 (Fragment)	ABCC1	Homo sapiens (Human)	89
ABCC1		I3L2H9	I3L2H9_HUMAN	unreviewed	Multidrug resistance-associated protein 1 (Fragment)	ABCC1	Homo sapiens (Human)	22
ABCC1		I3L4X2	I3L4X2_HUMAN	unreviewed	Multidrug resistance-associated protein 1 (Fragment)	ABCC1	Homo sapiens (Human)	1440
ABCC1		P33527	MRP1_HUMAN	reviewed	Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter)	ABCC1 MRP MRP1	Homo sapiens (Human)	1531
ATOX1		E5RGN3	E5RGN3_HUMAN	unreviewed	Copper transport protein ATOX1	ATOX1	Homo sapiens (Human)	59
ATOX1		E5RIM7	E5RIM7_HUMAN	unreviewed	Copper transport protein ATOX1	ATOX1	Homo sapiens (Human)	73
ATOX1		O00244	ATOX1_HUMAN	reviewed	Copper transport protein ATOX1 (Metal transport protein ATX1)	ATOX1 HAH1	Homo sapiens (Human)	68
ATOX1		Q6IBA3	Q6IBA3_HUMAN	unreviewed	ATOX1 protein	ATOX1	Homo sapiens (Human)	68
CAT		A0A1C9J7V9	A0A1C9J7V9_HUMAN	unreviewed	Catalase (EC 1.11.1.6) (Fragment)	cat	Homo sapiens (Human)	22
CAT		P04040	CATA_HUMAN	reviewed	Catalase (EC 1.11.1.6)	CAT	Homo sapiens (Human)	527
