yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1491	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1491	Entry	Entry name		Protein names	Gene names	Organism	Length
AADAT		D6RC56	D6RC56_HUMAN	unreviewed	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (Fragment)	AADAT	Homo sapiens (Human)	180
AADAT		D6REB9	D6REB9_HUMAN	unreviewed	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (Fragment)	AADAT	Homo sapiens (Human)	220
AADAT		D6RFY7	D6RFY7_HUMAN	unreviewed	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (Fragment)	AADAT	Homo sapiens (Human)	209
AADAT		Q4W5N8	Q4W5N8_HUMAN	unreviewed	Aminoadipate aminotransferase, isoform CRA_b (Putative uncharacterized protein AADAT) (cDNA, FLJ95590, Homo sapiens L-kynurenine/alpha-aminoadipate aminotransferase (KATII), mRNA)	AADAT hCG_17308	Homo sapiens (Human)	425
AADAT		Q8N5Z0	AADAT_HUMAN	reviewed	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Kynurenine aminotransferase II) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II)	AADAT KAT2	Homo sapiens (Human)	425
ACAA1		A0A024R2M6	A0A024R2M6_HUMAN	unreviewed	Acetyl-Coenzyme A acyltransferase 1 (Peroxisomal 3-oxoacyl-Coenzyme A thiolase), isoform CRA_a	ACAA1 hCG_42425	Homo sapiens (Human)	424
ACAA1		B4DVF4	B4DVF4_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal (cDNA FLJ54941, highly similar to 3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16)) (cDNA, FLJ79450, highly similar to 3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16))	ACAA1	Homo sapiens (Human)	153
ACAA1		C9JDE9	C9JDE9_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1	Homo sapiens (Human)	383
ACAA1		F2Z2Q6	F2Z2Q6_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1	Homo sapiens (Human)	113
ACAA1		F2Z3P7	F2Z3P7_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1	Homo sapiens (Human)	121
