yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	Entry	Entry name		Protein names	Gene names	Organism	Length
ABCB6		A0A024R436	A0A024R436_HUMAN	unreviewed	ATP-binding cassette, sub-family B (MDR/TAP), member 6, isoform CRA_f	ABCB6 hCG_15577	Homo sapiens (Human)	436
ABCB6		A0A1D9ITY9	A0A1D9ITY9_HUMAN	unreviewed	ATP-binding cassette sub-family B member 6 (Fragment)	ABCB6	Homo sapiens (Human)	183
ABCB6		H7BXK9	H7BXK9_HUMAN	unreviewed	ATP-binding cassette sub-family B member 6, mitochondrial (Fragment)	ABCB6	Homo sapiens (Human)	690
ABCB6		H7C049	H7C049_HUMAN	unreviewed	ATP-binding cassette sub-family B member 6, mitochondrial (Fragment)	ABCB6	Homo sapiens (Human)	147
ABCB6		H7C1R6	H7C1R6_HUMAN	unreviewed	ATP-binding cassette sub-family B member 6, mitochondrial (Fragment)	ABCB6	Homo sapiens (Human)	68
ABCB6		H7C245	H7C245_HUMAN	unreviewed	ATP-binding cassette sub-family B member 6, mitochondrial (Fragment)	ABCB6	Homo sapiens (Human)	119
ABCB6		H7C3Z0	H7C3Z0_HUMAN	unreviewed	ATP-binding cassette sub-family B member 6, mitochondrial (Fragment)	ABCB6	Homo sapiens (Human)	40
ABCB6		Q9NP58	ABCB6_HUMAN	reviewed	ATP-binding cassette sub-family B member 6, mitochondrial (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)	ABCB6 MTABC3 PRP UMAT	Homo sapiens (Human)	842
ABCB6		U3TD89	U3TD89_HUMAN	unreviewed	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Fragment)	ABCB6	Homo sapiens (Human)	36
ABCB6		U3TGG4	U3TGG4_HUMAN	unreviewed	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Fragment)	ABCB6	Homo sapiens (Human)	34
ABCB6		U3THN0	U3THN0_HUMAN	unreviewed	ATP-binding cassette, sub-family B (MDR/TAP), member 6	ABCB6	Homo sapiens (Human)	160
ABCB6		U3THP2	U3THP2_HUMAN	unreviewed	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Fragment)	ABCB6	Homo sapiens (Human)	25
ABCB6		U3TJJ6	U3TJJ6_HUMAN	unreviewed	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Fragment)	ABCB6	Homo sapiens (Human)	182
ABCB6		U3TJK0	U3TJK0_HUMAN	unreviewed	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Fragment)	ABCB6	Homo sapiens (Human)	22
ADORA2B		A0MCH9	A0MCH9_HUMAN	unreviewed	Adenosine A2b receptor (Fragment)	ADORA2B	Homo sapiens (Human)	11
ADORA2B		P29275	AA2BR_HUMAN	reviewed	Adenosine receptor A2b	ADORA2B	Homo sapiens (Human)	332
ADORA2B		Q2L7J7	Q2L7J7_HUMAN	unreviewed	Adenosine A2b receptor (Fragment)	ADORA2B	Homo sapiens (Human)	49
AGL		A0A0M4G3H8	A0A0M4G3H8_HUMAN	unreviewed	Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferaseprovided	AGL	Homo sapiens (Human)	1532
AGL		A0A0S2A4E4	A0A0S2A4E4_HUMAN	unreviewed	Amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (Glycogen debranching enzyme, glycogen storage disease type III), isoform CRA_b (Glycogen debranching protein)	AGL hCG_31497	Homo sapiens (Human)	1532
AGL		A0A1C7CYW1	A0A1C7CYW1_HUMAN	unreviewed	Glycogen debranching enzyme	AGL	Homo sapiens (Human)	68
AGL		G1UI17	G1UI17_HUMAN	unreviewed	Glycogen debranching enzyme (Fragment)	AGL	Homo sapiens (Human)	1262
AGL		P35573	GDE_HUMAN	reviewed	Glycogen debranching enzyme (Glycogen debrancher) [Includes: 4-alpha-glucanotransferase (EC 2.4.1.25) (Oligo-1,4-1,4-glucantransferase); Amylo-alpha-1,6-glucosidase (Amylo-1,6-glucosidase) (EC 3.2.1.33) (Dextrin 6-alpha-D-glucosidase)]	AGL GDE	Homo sapiens (Human)	1532
AGRN		A0A087X208	A0A087X208_HUMAN	unreviewed	Agrin	AGRN	Homo sapiens (Human)	1930
AGRN		H0Y5U1	H0Y5U1_HUMAN	unreviewed	Agrin (Fragment)	AGRN	Homo sapiens (Human)	271
AGRN		O00468	AGRIN_HUMAN	reviewed	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	Homo sapiens (Human)	2067
AGRN		Q15952	Q15952_HUMAN	unreviewed	Agrin (Fragment)	AGRN	Homo sapiens (Human)	62
AGRN		Q5XG79	Q5XG79_HUMAN	unreviewed	AGRN protein (Fragment)	AGRN	Homo sapiens (Human)	719
AGRN		Q96QF8	Q96QF8_HUMAN	unreviewed	Agrin (Fragment)	AGRN	Homo sapiens (Human)	11
