#0:PFC	1:FBS_max	2:Gene1	3:Gene2	4:FBS_PPI	5:FBS_Metabolic	6:FBS_Signaling	7:FBS_Complex	8:LLR_MEX	9:LLR_PIN	10:LLR_SCL	11:LLR_PHP	12:LLR_MIR	13:LLR_TFB	14:LLR_PEX	15:LLR_GIN	16:LLR_DOM	17:LLR_QMS	18:LLR_HSA	19:LLR_MMU	20:LLR_RNO	21:LLR_CFA	22:LLR_GGA	23:LLR_DRE	24:LLR_CIN	25:LLR_DME	26:LLR_CEL	27:LLR_BTA	28:LLR_SCE	29:LLR_ATH	30:LLR_SPO	31:LLR_BSU	32:LLR_ECO	33:LLR_PFA	34:LLR_OSA	35:Max_category
1.000	18.357	TIF2	PGI1	11.959	14.523	-0.219	18.357	3.151	9.001	0.680	2.331	0.089	0.855	-0.075			2.324	3.684	2.760	-0.152	0.580	1.024	0.187		2.693	-0.056	0.757	11.219	-0.185	-0.201	0.180		2.509	-0.270	Complex
1.000	23.321	TEF2	EFT1	23.321	21.958	2.874	19.969	5.893	9.063	0.602	3.906		0.755	0.000		0.814	2.288	6.310	1.768	-0.942	-0.297	1.171	-0.110		1.453	1.927	-0.281	14.402	5.591				3.103	0.250	PPI
1.000	24.599	ATP1	RPP0	13.170	16.983	-0.753	24.599	4.546	14.367	0.000	2.029		0.683	-0.075			3.049	5.988	4.401	1.671	-0.276	1.826	1.836		0.309	1.253	-0.206	15.427	-0.858	-0.016			-0.358		Complex
1.000	20.386	TUB2	SAM1	9.404	10.991	-1.661	20.386	0.394	13.577	-0.278	2.850	-0.093	2.139	-0.075			1.872	3.072	-0.272	-1.230	-0.155	-0.185	0.080		-0.348	-0.518	0.000	17.724	2.996	-0.201			0.363	-0.227	Complex
1.000	17.962	RVB1	PGI1	7.411	10.088	-5.257	17.962	1.382	12.538	-0.278	2.331	0.089	-0.038	0.000			1.939	2.346	1.346	1.211	0.300	-0.177	-0.091		-0.516	0.887	0.000	13.652	-0.661	-0.201			1.624	-0.270	Complex
1.000	16.686	PRO2	PGK1	3.724	4.236	-0.752	16.686	0.789	12.000	-0.278	2.029	0.089	0.855	-0.075			1.276	-0.515	-0.292	-0.520	-0.365	0.795			0.379	0.366	-0.206	15.024	0.759	-0.201	0.000	-0.243		0.196	Complex
1.000	16.564	ILV5	PRP43	5.791	6.536	-2.009	16.564	2.873	12.125	-0.278	0.989		0.855															15.976	1.761	-0.201		-0.243		0.221	Complex
1.000	22.723	OLA1	PGI1	14.216	13.651	-6.067	22.723	3.130	12.806	-0.278	4.009	-0.093	0.650	0.000			2.499	3.426	1.723	1.461	0.182	-0.203	-0.091		0.009	1.229		18.242	1.265	-0.016	0.180	0.208	1.568		Complex
0.832	8.508	PRO2	PAB1	7.574	8.508	-1.084	1.056	3.785	4.046	-0.764	1.543	-0.497	-0.326	0.000			0.720	1.516	1.016	0.892	-0.374	-0.509			-0.323	-0.708	-0.346	3.124	3.782	0.177				-1.296	Metabolic
1.000	23.006	RVB1	POL30	12.090	13.875	-1.031	23.006	4.315	14.017	0.680	2.331	0.089	-0.169	0.075			1.667	5.405	4.830	1.800	0.824	1.247	0.187		0.366	0.885	0.474	17.276	1.028	-0.201			-0.390	1.781	Complex
1.000	24.094	TIF2	KRS1	12.949	12.814	-3.142	24.094	4.886	13.855	0.000	2.331	0.089	0.324	0.075		0.210	2.324	4.409	3.125	1.271	-0.365	0.557			0.020	0.596	0.474	19.632	2.222	-0.201	0.470		1.263	1.695	Complex
1.000	23.164	RVB1	KRS1	11.395	13.570	-0.579	23.164	5.356	12.538	-0.278	2.331	0.089	-0.038	-0.075	1.303		1.939	4.705	5.371	2.487	-0.178	0.356			1.063	0.419	0.474	17.320	1.143	-0.201			1.137	4.214	Complex
0.993	11.866	TIF2	POL30	11.866	11.802	-1.859	6.994	5.119	2.355	-0.273	1.503		0.930	0.454			1.778	4.115	2.531	2.675	-0.718	3.089	0.126		1.512	1.995	0.760	3.006	0.543	-0.172			-0.747	1.228	PPI
0.998	13.379	RVB2	HSC82	13.379	9.351	1.292	12.593	2.906	6.753	-0.668	2.407		0.481	-0.109			1.609	5.611	2.736	1.649	0.087		-0.212		2.529	-0.880		6.520	0.867	-0.343			0.211	1.664	PPI
1.000	26.999	RPP0	EFT2	26.999	25.456	2.646	22.957	8.193	8.388	1.465	3.906		2.759	0.000			2.288	9.911	3.981	0.633	2.751	3.061	-0.212		0.941	3.509	0.173	20.438	3.457	1.012			2.701	0.233	PPI
1.000	14.672	LEU1	TEF1	1.525	2.966	0.590	14.672	1.022	12.190	0.000	0.989		-0.457				0.927											13.666	1.283					0.196	Complex
