04_orf05817_rev 05_orf00178 08_orf01318 16_orf06320
04_orf14862_rev 05_orf01205_rev 08_orf01271 16_orf00304_rev
04_orf00696_rev 05_orf00186 08_orf00623 16_orf08719_rev
04_orf02972 05_orf00278 08_orf01106 16_orf12118
04_orf09936_rev 05_orf00625_rev 08_orf02018_rev 16_orf01784_rev
04_orf10210_rev 05_orf00654 08_orf00201_rev 16_orf00671
04_orf08667_rev 05_orf00706_rev 08_orf02030_rev 16_orf10553_rev
04_orf04292 05_orf00156_rev 08_orf01214_rev 16_orf12465
04_orf02953 05_orf00671_rev 08_orf01106 16_orf12118
04_orf13444 05_orf00193 08_orf01043 16_orf02589_rev
04_orf10879 05_orf00591 08_orf01682_rev 16_orf01840
04_orf00946_rev 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf06933_rev 05_orf00326_rev 08_orf00558_rev 16_orf04849
04_orf07998 05_orf00326_rev 08_orf01196 16_orf09101
04_orf00956 05_orf00653 08_orf00972 16_orf10116
04_orf09211_rev 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf00899 05_orf00277 08_orf01434 16_orf12115
04_orf03085 05_orf00414_rev 08_orf02249_rev 16_orf06544_rev
04_orf15466_rev 05_orf00653 08_orf00378 16_orf12353
04_orf14143_rev 05_orf00977_rev 08_orf01145 16_orf03758_rev
04_orf00821 05_orf00653 08_orf00972 16_orf11535_rev
04_orf01178 05_orf00377 08_orf00001 16_orf04122
04_orf15597 05_orf00278 08_orf01106 16_orf12118
04_orf09317_rev 05_orf01144_rev 08_orf01447 16_orf08891
04_orf03988 05_orf00141 08_orf00986_rev 16_orf08726
04_orf09965_rev 05_orf00175 08_orf01814_rev 16_orf03995_rev
04_orf01576 05_orf00995_rev 08_orf01381 16_orf05754_rev
04_orf05792_rev 05_orf00653 08_orf00378 16_orf12353
04_orf04572_rev 05_orf00326_rev 08_orf01196 16_orf04366_rev
04_orf10215_rev 05_orf00653 08_orf00972 16_orf00670
04_orf02607 05_orf00855_rev 08_orf00812 16_orf02777
04_orf13721 05_orf01056_rev 08_orf01902 16_orf03616_rev
04_orf10491 05_orf01065 08_orf01316 16_orf11996
04_orf14717 05_orf00326_rev 08_orf00555 16_orf04849
04_orf04830 05_orf00326_rev 08_orf00558_rev 16_orf05298_rev
04_orf07455_rev 05_orf00258 08_orf01298 16_orf04414
04_orf08518_rev 05_orf01208_rev 08_orf00997_rev 16_orf09155
04_orf10867 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf15599 05_orf00978_rev 08_orf01467 16_orf12120
04_orf11012 05_orf00280 08_orf00995_rev 16_orf02117
04_orf00068_rev 05_orf00620_rev 08_orf01608 16_orf09784_rev
04_orf13074_rev 05_orf01195 08_orf01555_rev 16_orf03027_rev
04_orf01111 05_orf00923_rev 08_orf01188 16_orf01300
04_orf03874_rev 05_orf00139_rev 08_orf01398 16_orf00155_rev
04_orf04716 05_orf00775 08_orf00685 16_orf04258
04_orf07504 05_orf00408 08_orf01201 16_orf10001
04_orf15949 05_orf00289 08_orf02243_rev 16_orf06775_rev
04_orf03146_rev 05_orf00277 08_orf01434 16_orf12115
04_orf09543 05_orf00186 08_orf01332 16_orf01762_rev
04_orf16743_rev 05_orf00975 08_orf00937_rev 16_orf00412
04_orf08517_rev 05_orf00213 08_orf00995_rev 16_orf09159
04_orf15523 05_orf00289 08_orf02243_rev 16_orf00138
04_orf00762 05_orf00519 08_orf01334 16_orf02773_rev
04_orf06068_rev 05_orf00186 08_orf01332 16_orf01627
04_orf12914 05_orf00463 08_orf01133 16_orf03689
04_orf08781 05_orf00096_rev 08_orf01745_rev 16_orf03712
04_orf13422_rev 05_orf00977_rev 08_orf00995_rev 16_orf09159
04_orf03554 05_orf00654 08_orf00201_rev 16_orf08602
04_orf07054 05_orf00608_rev 08_orf01245 16_orf12130_rev
04_orf11792 05_orf00653 08_orf00378 16_orf12353
04_orf00693_rev 05_orf00654 08_orf00718 16_orf02576_rev
04_orf06865_rev 05_orf00653 08_orf01563_rev 16_orf00684_rev
04_orf09218 05_orf00923_rev 08_orf01968_rev 16_orf11263
04_orf13975_rev 05_orf00278 08_orf01106 16_orf12118
04_orf07630 05_orf00179 08_orf01286 16_orf00808_rev
