yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC14D9	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC14D9	Entry	Entry name		Protein names	Gene names	Organism	Length
A2M		F5H1E8	F5H1E8_HUMAN	unreviewed	Alpha-2-macroglobulin	A2M	Homo sapiens (Human)	90
A2M		F8W7L3	F8W7L3_HUMAN	unreviewed	Alpha-2-macroglobulin (Fragment)	A2M	Homo sapiens (Human)	168
A2M		H0YFH1	H0YFH1_HUMAN	unreviewed	Alpha-2-macroglobulin (Fragment)	A2M	Homo sapiens (Human)	73
A2M		L0R6B6	L0R6B6_HUMAN	unreviewed	Alternative protein A2M	A2M	Homo sapiens (Human)	52
A2M		P01023	A2MG_HUMAN	reviewed	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	A2M CPAMD5 FWP007	Homo sapiens (Human)	1474
A2M		Q9BQ22	Q9BQ22_HUMAN	unreviewed	Alpha-2-macroglobulin (Fragment)	A2M	Homo sapiens (Human)	37
ACVR1B		F5H5Q2	F5H5Q2_HUMAN	unreviewed	Activin receptor type-1B (Fragment)	ACVR1B	Homo sapiens (Human)	71
ACVR1B		P36896	ACV1B_HUMAN	reviewed	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	ACVR1B ACVRLK4 ALK4	Homo sapiens (Human)	505
ACVRL1		A0A0S2Z2Y4	A0A0S2Z2Y4_HUMAN	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30) (Fragment)	ACVRL1	Homo sapiens (Human)	399
ACVRL1		A0A0S2Z310	A0A0S2Z310_HUMAN	unreviewed	Serine/threonine-protein kinase receptor (EC 2.7.11.30) (Fragment)	ACVRL1	Homo sapiens (Human)	503
ACVRL1		D9IPD9	D9IPD9_HUMAN	unreviewed	Activin A receptor type II-like kinase 1 variant 3 (Activin A receptor type II-like kinase 1 variant 4) (Serine/threonine-protein kinase receptor R3) (Fragment)	ACVRL1	Homo sapiens (Human)	89
ACVRL1		E7EN07	E7EN07_HUMAN	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30)	ACVRL1	Homo sapiens (Human)	329
ACVRL1		F8W0N2	F8W0N2_HUMAN	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30) (Fragment)	ACVRL1	Homo sapiens (Human)	159
ACVRL1		G3V1W8	G3V1W8_HUMAN	unreviewed	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	ACVRL1 hCG_37967	Homo sapiens (Human)	517
ACVRL1		H3BTZ2	H3BTZ2_HUMAN	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30) (Fragment)	ACVRL1	Homo sapiens (Human)	163
ACVRL1		P37023	ACVL1_HUMAN	reviewed	Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)	ACVRL1 ACVRLK1 ALK1	Homo sapiens (Human)	503
BAK1		A0A0A0MRG8	A0A0A0MRG8_HUMAN	unreviewed	Bcl-2 homologous antagonist/killer	BAK1	Homo sapiens (Human)	191
BAK1		A0A0S2Z319	A0A0S2Z319_HUMAN	unreviewed	BCL2-antagonist/killer 1 isoform 2	BAK1	Homo sapiens (Human)	211
BAK1		A0A0S2Z391	A0A0S2Z391_HUMAN	unreviewed	BCL2-antagonist/killer 1 isoform 1 (Fragment)	BAK1	Homo sapiens (Human)	211
BAK1		Q16611	BAK_HUMAN	reviewed	Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7)	BAK1 BAK BCL2L7 CDN1	Homo sapiens (Human)	211
CBL		A0A0U1RQX8	A0A0U1RQX8_HUMAN	unreviewed	E3 ubiquitin-protein ligase CBL	CBL	Homo sapiens (Human)	882
CBL		A0A0U1RR39	A0A0U1RR39_HUMAN	unreviewed	E3 ubiquitin-protein ligase CBL	CBL	Homo sapiens (Human)	862
