#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HIS6	HIS7	631826	629319	4932.YIL020C	4932.YBR248C	0.560	0	0	0	0.978	0	0.964	0	0.999
HIS6	HIS4	631826	629406	4932.YIL020C	4932.YCL030C	0.560	0	0	0	0.967	0	0.964	0	0.999
TUB1	TUB2	633478	630788	4932.YML085C	4932.YFL037W	0	0	0	0.920	0.901	0.992	0.923	0	0.999
KRE33	NOP56	634036	633086	4932.YNL132W	4932.YLR197W	0	0	0	0	0.983	0.980	0	0	0.999
IDH2	IDH1	634659	633934	4932.YOR136W	4932.YNL037C	0	0	0.527	0.917	0.989	0.997	0.900	0	0.999
NOP58	NOP56	634845	633086	4932.YOR310C	4932.YLR197W	0	0	0.424	0.886	0.990	0.868	0.900	0	0.999
HIS4	HIS7	629406	629319	4932.YCL030C	4932.YBR248C	0.571	0	0.482	0	0.989	0	0.667	0	0.999
NOG1	NOP58	635034	634845	4932.YPL093W	4932.YOR310C	0	0	0	0	0.985	0.943	0	0	0.999
HIS3	HIS7	634734	629319	4932.YOR202W	4932.YBR248C	0.560	0	0.503	0	0.911	0	0.964	0	0.999
DPB2	POL2	635429	634170	4932.YPR175W	4932.YNL262W	0	0	0	0	0.708	0.988	0.900	0	0.999
LEU1	LEU2	630896	629393	4932.YGL009C	4932.YCL018W	0.560	0	0.399	0	0.978	0.723	0.964	0	0.999
HIS5	HIS4	631934	629406	4932.YIL116W	4932.YCL030C	0.560	0.895	0.503	0	0.996	0.083	0.609	0	0.999
NOP58	KRE33	634845	634036	4932.YOR310C	4932.YNL132W	0	0	0	0	0.986	0.980	0	0	0.999
NOP58	UTP4	634845	630177	4932.YOR310C	4932.YDR324C	0	0	0	0	0.969	0.871	0.900	0	0.999
PRP19	CWC2	632834	629782	4932.YLL036C	4932.YDL209C	0	0	0	0	0.088	0.999	0.720	0	0.999
HIS1	HIS4	630572	629406	4932.YER055C	4932.YCL030C	0.560	0	0.517	0	0.973	0	0.964	0	0.999
NOP56	UTP4	633086	630177	4932.YLR197W	4932.YDR324C	0	0	0	0	0.928	0.870	0.900	0	0.998
LEU9	LEU1	634631	630896	4932.YOR108W	4932.YGL009C	0.560	0	0	0	0.827	0.514	0.964	0	0.998
HIS3	HIS4	634734	629406	4932.YOR202W	4932.YCL030C	0.560	0.727	0.525	0	0.941	0	0.666	0	0.998
