04_orf01595 05_orf00692_rev 08_orf01374 16_orf09479
04_orf07568 05_orf00328_rev 08_orf01194 16_orf03543
04_orf13122_rev 05_orf00257 08_orf01681_rev 16_orf01168
04_orf06197_rev 05_orf00095 08_orf00255 16_orf04169
04_orf12246 05_orf00519 08_orf01334 16_orf02773_rev
04_orf04552_rev 05_orf00102 08_orf02114 16_orf11412_rev
04_orf07890_rev 05_orf00620_rev 08_orf01608 16_orf03310_rev
04_orf12902_rev 05_orf00263_rev 08_orf01597 16_orf03010
04_orf07860 05_orf00332 08_orf01052 16_orf04907
04_orf16821_rev 05_orf00484 08_orf01920_rev 16_orf06933_rev
04_orf05817_rev 05_orf00178 08_orf01318 16_orf06320
04_orf04222_rev 05_orf01021 08_orf01851_rev 16_orf00019_rev
04_orf01272 05_orf00133_rev 08_orf01526 16_orf03399
04_orf03943_rev 05_orf01121 08_orf01670_rev 16_orf03473_rev
04_orf07662 05_orf00996_rev 08_orf01380 16_orf04982_rev
04_orf14216 05_orf01055_rev 08_orf00952 16_orf03857
04_orf00518_rev 05_orf00648 08_orf01285 16_orf04300
04_orf07032 05_orf00436_rev 08_orf01741_rev 16_orf03764_rev
04_orf09850 05_orf00914 08_orf01466 16_orf01364
04_orf13444 05_orf00193 08_orf01043 16_orf02589_rev
04_orf07093 05_orf00713_rev 08_orf01276 16_orf05160_rev
04_orf00529_rev 05_orf00329 08_orf00339 16_orf02767
04_orf16687_rev 05_orf00799_rev 08_orf01315 16_orf06317
04_orf07490 05_orf00110 08_orf01711_rev 16_orf10431_rev
04_orf01021_rev 05_orf00086_rev 08_orf01033 16_orf04718_rev
04_orf01612_rev 05_orf00287_rev 08_orf01965_rev 16_orf02926_rev
04_orf05822_rev 05_orf00177 08_orf01317 16_orf06318
04_orf10219 05_orf00647 08_orf01861_rev 16_orf00286
04_orf08663_rev 05_orf00060 08_orf02028_rev 16_orf01606_rev
04_orf07073 05_orf00725_rev 08_orf01258 16_orf03815_rev
04_orf07056 05_orf00439_rev 08_orf01745_rev 16_orf03768_rev
04_orf07734 05_orf01023 08_orf01530 16_orf07165_rev
04_orf05851 05_orf00641_rev 08_orf01782_rev 16_orf02706
04_orf00501 05_orf00346_rev 08_orf00158_rev 16_orf04567
04_orf07837 05_orf00758 08_orf01762_rev 16_orf12250_rev
04_orf16685 05_orf00855_rev 08_orf00812 16_orf02777
04_orf07063 05_orf00732_rev 08_orf01250 16_orf03826_rev
04_orf10857 05_orf00991 08_orf01783_rev 16_orf11041
04_orf04551_rev 05_orf00100 08_orf02112 16_orf09954
04_orf09402 05_orf00096_rev 08_orf01402 16_orf12483
04_orf07054 05_orf00608_rev 08_orf01245 16_orf12130_rev
04_orf09317_rev 05_orf01144_rev 08_orf01447 16_orf08891
04_orf01524_rev 05_orf00552 08_orf00020 16_orf02866_rev
04_orf01515_rev 05_orf00476_rev 08_orf00023 16_orf02868_rev
04_orf13018_rev 05_orf00635 08_orf01873 16_orf05890_rev
04_orf01599 05_orf00702 08_orf01407 16_orf05516_rev
04_orf10590_rev 05_orf00972 08_orf01954 16_orf06810_rev
04_orf07863 05_orf00337 08_orf01057 16_orf00867_rev
04_orf01245 05_orf00640_rev 08_orf01224_rev 16_orf09464
04_orf12540_rev 05_orf00796_rev 08_orf01120 16_orf09524
04_orf07941 05_orf00452 08_orf01431 16_orf01727_rev
04_orf10237_rev 05_orf00416_rev 08_orf01382 16_orf11276
04_orf13005_rev 05_orf01028_rev 08_orf01752 16_orf10189
04_orf14076_rev 05_orf00994_rev 08_orf01916 16_orf04591_rev
04_orf07501 05_orf00142 08_orf01295 16_orf02826
04_orf13704 05_orf01162 08_orf01294 16_orf05131_rev
04_orf01405_rev 05_orf00923_rev 08_orf01068 16_orf02279_rev
04_orf12978_rev 05_orf00625_rev 08_orf02018_rev 16_orf01784_rev
04_orf04102_rev 05_orf01133 08_orf01901 16_orf05750_rev
04_orf08693 05_orf00981 08_orf01429 16_orf00831
04_orf01603 05_orf00808 08_orf00269 16_orf11067
04_orf03567 05_orf00459 08_orf02258 16_orf00625
04_orf10879 05_orf00591 08_orf01682_rev 16_orf01840
04_orf09379 05_orf00343_rev 08_orf02272 16_orf07324_rev
04_orf09923_rev 05_orf00876_rev 08_orf01277 16_orf12450_rev
04_orf01467 05_orf00665 08_orf01662_rev 16_orf01744_rev
04_orf11091_rev 05_orf01205_rev 08_orf01271 16_orf00304_rev
04_orf13331_rev 05_orf00584_rev 08_orf01617_rev 16_orf11477
04_orf01455 05_orf01183 08_orf01667_rev 16_orf01038
04_orf01353_rev 05_orf00451_rev 08_orf00908 16_orf02931
04_orf04192 05_orf00132_rev 08_orf01529 16_orf11812
04_orf13621 05_orf00750_rev 08_orf00179_rev 16_orf10975
04_orf06492 05_orf01180_rev 08_orf01574_rev 16_orf04314_rev
04_orf00520_rev 05_orf00739_rev 08_orf01820_rev 16_orf12124
04_orf12706 05_orf00516 08_orf01335 16_orf01487
04_orf06468 05_orf00373_rev 08_orf01587_rev 16_orf11827_rev
04_orf07455_rev 05_orf00258 08_orf01298 16_orf04414
04_orf00522_rev 05_orf00491_rev 08_orf01821_rev 16_orf12123
04_orf01043 05_orf01120_rev 08_orf01365 16_orf08742
04_orf12539_rev 05_orf00795_rev 08_orf01122 16_orf00311
04_orf05441_rev 05_orf01135 08_orf01724_rev 16_orf07266_rev
04_orf08687_rev 05_orf00912 08_orf01543 16_orf02520_rev
04_orf07083 05_orf00717_rev 08_orf01267 16_orf03796_rev
04_orf07086 05_orf00716_rev 08_orf01268 16_orf03793_rev
04_orf05787_rev 05_orf01176 08_orf01753_rev 16_orf09519
04_orf07067 05_orf00729_rev 08_orf01253 16_orf03822_rev
04_orf01528 05_orf00845 08_orf01695_rev 16_orf02261
04_orf13205_rev 05_orf00042 08_orf01932_rev 16_orf09568_rev
04_orf10873_rev 05_orf00366_rev 08_orf01760_rev 16_orf07391
04_orf07469 05_orf00005 08_orf01470 16_orf02204_rev
04_orf01589_rev 05_orf00693_rev 08_orf01131 16_orf02645_rev
04_orf04815 05_orf01104_rev 08_orf02130 16_orf10556_rev
