yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1433	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1433	Entry	Entry name		Protein names	Gene names	Organism	Length
ALDH18A1		P54886	P5CS_HUMAN	reviewed	Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	ALDH18A1 GSAS P5CS PYCS	Homo sapiens (Human)	795
ARFGAP1		E5RGL6	E5RGL6_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 1	ARFGAP1	Homo sapiens (Human)	130
ARFGAP1		E5RHC5	E5RHC5_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 1 (Fragment)	ARFGAP1	Homo sapiens (Human)	261
ARFGAP1		E5RHH7	E5RHH7_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 1 (Fragment)	ARFGAP1	Homo sapiens (Human)	153
ARFGAP1		E5RHT6	E5RHT6_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 1 (Fragment)	ARFGAP1	Homo sapiens (Human)	244
ARFGAP1		E5RIU2	E5RIU2_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 1 (Fragment)	ARFGAP1	Homo sapiens (Human)	79
ARFGAP1		F8VWB3	F8VWB3_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 1 (Fragment)	ARFGAP1	Homo sapiens (Human)	122
ARFGAP1		F8VWH9	F8VWH9_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 1	ARFGAP1	Homo sapiens (Human)	340
ARFGAP1		F8W1U7	F8W1U7_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 1 (Fragment)	ARFGAP1	Homo sapiens (Human)	271
ARFGAP1		H0YIQ0	H0YIQ0_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 1 (Fragment)	ARFGAP1	Homo sapiens (Human)	104
ARFGAP1		Q8N6T3	ARFG1_HUMAN	reviewed	ADP-ribosylation factor GTPase-activating protein 1 (ARF GAP 1) (ADP-ribosylation factor 1 GTPase-activating protein) (ARF1 GAP) (ARF1-directed GTPase-activating protein)	ARFGAP1 ARF1GAP	Homo sapiens (Human)	406
