yourlist:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	isomap:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	Entry	Entry name		Protein names	Gene names	Organism	Length
ADD1		A0A0A0MSR2	A0A0A0MSR2_HUMAN	unreviewed	Alpha-adducin	ADD1	Homo sapiens (Human)	400
ADD1		D6RAH3	D6RAH3_HUMAN	unreviewed	Alpha-adducin (Fragment)	ADD1	Homo sapiens (Human)	137
ADD1		D6RF25	D6RF25_HUMAN	unreviewed	Alpha-adducin (Fragment)	ADD1	Homo sapiens (Human)	142
ADD1		D6RJE2	D6RJE2_HUMAN	unreviewed	Alpha-adducin	ADD1	Homo sapiens (Human)	69
ADD1		E7ENY0	E7ENY0_HUMAN	unreviewed	Alpha-adducin	ADD1	Homo sapiens (Human)	663
ADD1		E7EV99	E7EV99_HUMAN	unreviewed	Alpha-adducin	ADD1	Homo sapiens (Human)	632
ADD1		H0Y9H2	H0Y9H2_HUMAN	unreviewed	Alpha-adducin (Fragment)	ADD1	Homo sapiens (Human)	444
ADD1		H0YFD8	H0YFD8_HUMAN	unreviewed	Alpha-adducin (Fragment)	ADD1	Homo sapiens (Human)	105
ADD1		H0YG19	H0YG19_HUMAN	unreviewed	Alpha-adducin (Fragment)	ADD1	Homo sapiens (Human)	114
ADD1		P35611	ADDA_HUMAN	reviewed	Alpha-adducin (Erythrocyte adducin subunit alpha)	ADD1 ADDA	Homo sapiens (Human)	737
ADD1		Q96D30	Q96D30_HUMAN	unreviewed	ADD1 protein	ADD1	Homo sapiens (Human)	400
AIFM3		C9JPU8	C9JPU8_HUMAN	unreviewed	Apoptosis-inducing factor 3 (Fragment)	AIFM3	Homo sapiens (Human)	129
AIFM3		C9K029	C9K029_HUMAN	unreviewed	Apoptosis-inducing factor 3 (Fragment)	AIFM3	Homo sapiens (Human)	269
AIFM3		F8WC30	F8WC30_HUMAN	unreviewed	Apoptosis-inducing factor 3	AIFM3	Homo sapiens (Human)	74
AIFM3		F8WFB6	F8WFB6_HUMAN	unreviewed	Apoptosis-inducing factor 3	AIFM3	Homo sapiens (Human)	121
AIFM3		Q96NN9	AIFM3_HUMAN	reviewed	Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein)	AIFM3 AIFL	Homo sapiens (Human)	605
ANKH		D6RGI5	D6RGI5_HUMAN	unreviewed	Progressive ankylosis protein homolog	ANKH	Homo sapiens (Human)	126
ANKH		Q9HCJ1	ANKH_HUMAN	reviewed	Progressive ankylosis protein homolog (ANK)	ANKH KIAA1581 UNQ241/PRO274	Homo sapiens (Human)	492
ANXA1		B5BU38	B5BU38_HUMAN	unreviewed	Annexin	ANXA1	Homo sapiens (Human)	346
ANXA1		P04083	ANXA1_HUMAN	reviewed	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	ANXA1 ANX1 LPC1	Homo sapiens (Human)	346
ANXA1		Q05BR2	Q05BR2_HUMAN	unreviewed	ANXA1 protein	ANXA1	Homo sapiens (Human)	47
ANXA1		Q5T3N0	Q5T3N0_HUMAN	unreviewed	Annexin (Fragment)	ANXA1	Homo sapiens (Human)	115
ANXA1		Q5T3N1	Q5T3N1_HUMAN	unreviewed	Annexin (Fragment)	ANXA1	Homo sapiens (Human)	204
ANXA1		Q5TZZ9	Q5TZZ9_HUMAN	unreviewed	Annexin	ANXA1 hCG_17305	Homo sapiens (Human)	346
APP		A0A0A0MRG2	A0A0A0MRG2_HUMAN	unreviewed	Amyloid beta A4 protein	APP	Homo sapiens (Human)	660
APP		E9PG40	E9PG40_HUMAN	unreviewed	Amyloid beta A4 protein	APP	Homo sapiens (Human)	714
APP		H7C0V9	H7C0V9_HUMAN	unreviewed	Amyloid beta A4 protein (Fragment)	APP	Homo sapiens (Human)	485
APP		H7C2L2	H7C2L2_HUMAN	unreviewed	Amyloid beta A4 protein (Fragment)	APP	Homo sapiens (Human)	181
APP		L7XCZ9	L7XCZ9_HUMAN	unreviewed	Amyloid beta A4 protein (Fragment)	APP	Homo sapiens (Human)	49
APP		L7XE61	L7XE61_HUMAN	unreviewed	Amyloid beta A4 protein (Fragment)	APP	Homo sapiens (Human)	33
APP		L8EC46	L8EC46_HUMAN	unreviewed	Alternative protein APP	APP	Homo sapiens (Human)	40
