yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC128G	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC128G	Entry	Entry name		Protein names	Gene names	Organism	Length
ABCA1		A5D8U6	A5D8U6_HUMAN	unreviewed	ABCA1 protein	ABCA1	Homo sapiens (Human)	272
ABCA1		B1AMI1	B1AMI1_HUMAN	unreviewed	ATP-binding cassette sub-family A member 1	ABCA1	Homo sapiens (Human)	123
ABCA1		B1AMI2	B1AMI2_HUMAN	unreviewed	ATP-binding cassette sub-family A member 1 (ATP-binding cassette, sub-family A (ABC1), member 1, isoform CRA_b)	ABCA1 hCG_1789838	Homo sapiens (Human)	363
ABCA1		B2RUU2	B2RUU2_HUMAN	unreviewed	ATP-binding cassette, sub-family A (ABC1), member 1	ABCA1	Homo sapiens (Human)	2261
ABCA1		B7XCW9	B7XCW9_HUMAN	unreviewed	ATP-binding cassette transporter A1	ABCA1	Homo sapiens (Human)	2261
ABCA1		L8E884	L8E884_HUMAN	unreviewed	Alternative protein ABCA1	ABCA1	Homo sapiens (Human)	73
ABCA1		O95477	ABCA1_HUMAN	reviewed	ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	Homo sapiens (Human)	2261
ABCA1		Q9NP93	Q9NP93_HUMAN	unreviewed	ATP binding cassette transporter 1 (Fragment)	ABCA1	Homo sapiens (Human)	100
ADAM10		A0A024R5U5	A0A024R5U5_HUMAN	unreviewed	ADAM metallopeptidase domain 10, isoform CRA_b	ADAM10 hCG_40040	Homo sapiens (Human)	748
ADAM10		A0A087WYG1	A0A087WYG1_HUMAN	unreviewed	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10	Homo sapiens (Human)	59
ADAM10		A0AV88	A0AV88_HUMAN	unreviewed	ADAM10 protein	ADAM10	Homo sapiens (Human)	512
ADAM10		B5MC71	B5MC71_HUMAN	unreviewed	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10	Homo sapiens (Human)	71
ADAM10		C9J9B4	C9J9B4_HUMAN	unreviewed	Disintegrin and metalloproteinase domain-containing protein 10 (Fragment)	ADAM10	Homo sapiens (Human)	125
ADAM10		H0YK32	H0YK32_HUMAN	unreviewed	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10	Homo sapiens (Human)	38
ADAM10		H0YK87	H0YK87_HUMAN	unreviewed	Disintegrin and metalloproteinase domain-containing protein 10 (Fragment)	ADAM10	Homo sapiens (Human)	115
ADAM10		H0YNC5	H0YNC5_HUMAN	unreviewed	Disintegrin and metalloproteinase domain-containing protein 10 (Fragment)	ADAM10	Homo sapiens (Human)	148
ADAM10		H3BS53	H3BS53_HUMAN	unreviewed	Disintegrin and metalloproteinase domain-containing protein 10 (Fragment)	ADAM10	Homo sapiens (Human)	58
ADAM10		L8E9R5	L8E9R5_HUMAN	unreviewed	Alternative protein ADAM10	ADAM10	Homo sapiens (Human)	85
