yourlist:M20170427AAFB7E4D2F1D05654627429E83DA5CCEB41A64P	isomap:M20170427AAFB7E4D2F1D05654627429E83DA5CCEB41A64P	Entry	Entry name		Protein names	Gene names	Organism	Length
ABI1		A0A0A0MRT6	A0A0A0MRT6_HUMAN	unreviewed	Abl interactor 1	ABI1	Homo sapiens (Human)	475
ABI1		B6VEX4	B6VEX4_HUMAN	unreviewed	Abl interactor 1 (Abl-interactor 1 variant 21)	ABI1	Homo sapiens (Human)	393
ABI1		L8EC66	L8EC66_HUMAN	unreviewed	Alternative protein ABI1	ABI1	Homo sapiens (Human)	62
ABI1		Q8IZP0	ABI1_HUMAN	reviewed	Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)	ABI1 SSH3BP1	Homo sapiens (Human)	508
ABL1		A0A024R8E2	A0A024R8E2_HUMAN	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	ABL1 hCG_28416	Homo sapiens (Human)	1130
ABL1		P00519	ABL1_HUMAN	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130
ABL1		Q13688	Q13688_HUMAN	unreviewed	ABL1 protein (Fragment)	ABL1	Homo sapiens (Human)	64
ABL1		Q13689	Q13689_HUMAN	unreviewed	ABL1 protein (Fragment)	ABL1	Homo sapiens (Human)	46
ABL1		Q13691	Q13691_HUMAN	unreviewed	ABL1 protein (Fragment)	ABL1	Homo sapiens (Human)	115
ABL1		Q13914	Q13914_HUMAN	unreviewed	ABL1 protein (Fragment)	ABL1	Homo sapiens (Human)	64
ABL1		Q13915	Q13915_HUMAN	unreviewed	C-abl (Fragment)	ABL1	Homo sapiens (Human)	119
ABL1		Q3B836	Q3B836_HUMAN	unreviewed	ABL1 protein (Fragment)	ABL1	Homo sapiens (Human)	396
ABL1		Q3B837	Q3B837_HUMAN	unreviewed	ABL1 protein (Fragment)	ABL1	Homo sapiens (Human)	396
ABL1		Q86Y36	Q86Y36_HUMAN	unreviewed	ABL1 protein (Fragment)	ABL1	Homo sapiens (Human)	30
ABL1		R4GRW0	R4GRW0_HUMAN	unreviewed	Tyrosine-protein kinase ABL1 (Fragment)	ABL1	Homo sapiens (Human)	64
ABR		A0A0D9SGD7	A0A0D9SGD7_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	49
ABR		A0A0G2JQ41	A0A0G2JQ41_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	777
ABR		A0A0G2JQM3	A0A0G2JQM3_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	50
ABR		A0A0G2JQT5	A0A0G2JQT5_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	93
ABR		A0A0G2JRC2	A0A0G2JRC2_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	20
ABR		A0A0G2JRJ1	A0A0G2JRJ1_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	97
ABR		A0A0G2JRW2	A0A0G2JRW2_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	52
ABR		A0A0G2JSE0	A0A0G2JSE0_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	49
ABR		A0A1C7CYZ0	A0A1C7CYZ0_HUMAN	unreviewed	Active breakpoint cluster region-related protein	ABR	Homo sapiens (Human)	871
ABR		B7Z683	B7Z683_HUMAN	unreviewed	Active breakpoint cluster region-related protein (cDNA FLJ54747, highly similar to Active breakpoint cluster region-related protein)	ABR	Homo sapiens (Human)	641
ABR		I3L0R7	I3L0R7_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	189
ABR		I3L1U8	I3L1U8_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	165
ABR		I3L259	I3L259_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	86
ABR		I3L2C0	I3L2C0_HUMAN	unreviewed	Active breakpoint cluster region-related protein	ABR	Homo sapiens (Human)	153
ABR		I3L2L3	I3L2L3_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	88
ABR		I3L2P5	I3L2P5_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	168
ABR		I3L379	I3L379_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	117
ABR		I3L3W0	I3L3W0_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	133
ABR		I3L4Y1	I3L4Y1_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	129
ABR		I3NI05	I3NI05_HUMAN	unreviewed	Active breakpoint cluster region-related protein (Fragment)	ABR	Homo sapiens (Human)	191
ABR		Q12979	ABR_HUMAN	reviewed	Active breakpoint cluster region-related protein	ABR	Homo sapiens (Human)	859
ACTN4		A0A0S2Z3C0	A0A0S2Z3C0_HUMAN	unreviewed	Actinin alpha 4 isoform 3 (Fragment)	ACTN4	Homo sapiens (Human)	311
ACTN4		A0A0S2Z3G1	A0A0S2Z3G1_HUMAN	unreviewed	Actinin alpha 4 isoform 4	ACTN4	Homo sapiens (Human)	75
ACTN4		A0A0S2Z3G9	A0A0S2Z3G9_HUMAN	unreviewed	Actinin alpha 4 isoform 1 (Fragment)	ACTN4	Homo sapiens (Human)	911
ACTN4		A0A0S2Z3X3	A0A0S2Z3X3_HUMAN	unreviewed	Actinin alpha 4 isoform 2 (Fragment)	ACTN4	Homo sapiens (Human)	348
ACTN4		F5GXS2	F5GXS2_HUMAN	unreviewed	Alpha-actinin-4	ACTN4	Homo sapiens (Human)	521
ACTN4		H7C144	H7C144_HUMAN	unreviewed	Alpha-actinin-4 (Fragment)	ACTN4	Homo sapiens (Human)	342
ACTN4		K7EJH8	K7EJH8_HUMAN	unreviewed	Alpha-actinin-4 (Fragment)	ACTN4	Homo sapiens (Human)	182
ACTN4		K7EP19	K7EP19_HUMAN	unreviewed	Alpha-actinin-4 (Fragment)	ACTN4	Homo sapiens (Human)	105
ACTN4		O43707	ACTN4_HUMAN	reviewed	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	ACTN4	Homo sapiens (Human)	911
ACTN4		Q96BG6	Q96BG6_HUMAN	unreviewed	ACTN4 protein (Fragment)	ACTN4	Homo sapiens (Human)	634
AKAP13		A0A087WTD7	A0A087WTD7_HUMAN	unreviewed	A-kinase anchor protein 13	AKAP13	Homo sapiens (Human)	1429
AKAP13		A0A087WX73	A0A087WX73_HUMAN	unreviewed	A-kinase anchor protein 13 (Fragment)	AKAP13	Homo sapiens (Human)	166
AKAP13		A0A087WY36	A0A087WY36_HUMAN	unreviewed	A-kinase anchor protein 13 (Fragment)	AKAP13	Homo sapiens (Human)	967
AKAP13		A0A087WYS7	A0A087WYS7_HUMAN	unreviewed	A-kinase anchor protein 13 (Fragment)	AKAP13	Homo sapiens (Human)	66
AKAP13		A0A087X047	A0A087X047_HUMAN	unreviewed	A-kinase anchor protein 13 (Fragment)	AKAP13	Homo sapiens (Human)	98
AKAP13		A8MYJ1	A8MYJ1_HUMAN	unreviewed	A-kinase anchor protein 13	AKAP13	Homo sapiens (Human)	1434
AKAP13		B7ZW05	B7ZW05_HUMAN	unreviewed	AKAP13 protein (Fragment)	AKAP13	Homo sapiens (Human)	1085
AKAP13		H0YK18	H0YK18_HUMAN	unreviewed	A-kinase anchor protein 13 (Fragment)	AKAP13	Homo sapiens (Human)	93
AKAP13		H0YK84	H0YK84_HUMAN	unreviewed	A-kinase anchor protein 13 (Fragment)	AKAP13	Homo sapiens (Human)	146
AKAP13		H0YLH1	H0YLH1_HUMAN	unreviewed	A-kinase anchor protein 13 (Fragment)	AKAP13	Homo sapiens (Human)	275
AKAP13		H0YMI5	H0YMI5_HUMAN	unreviewed	A-kinase anchor protein 13 (Fragment)	AKAP13	Homo sapiens (Human)	38
AKAP13		H0YMW2	H0YMW2_HUMAN	unreviewed	A-kinase anchor protein 13 (Fragment)	AKAP13	Homo sapiens (Human)	1745
AKAP13		Q12802	AKP13_HUMAN	reviewed	A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47)	AKAP13 BRX HT31 LBC	Homo sapiens (Human)	2813
ALMS1		A0A087WTU9	A0A087WTU9_HUMAN	unreviewed	Alstrom syndrome protein 1	ALMS1	Homo sapiens (Human)	4126
ALMS1		A0A087WV20	A0A087WV20_HUMAN	unreviewed	Alstrom syndrome protein 1	ALMS1	Homo sapiens (Human)	3859
ALMS1		A0A087WZY3	A0A087WZY3_HUMAN	unreviewed	Alstrom syndrome protein 1	ALMS1	Homo sapiens (Human)	4168
ALMS1		A0A1P8DS31	A0A1P8DS31_HUMAN	unreviewed	Alstrom syndrome 1 splice variant (Fragment)	ALMS1	Homo sapiens (Human)	104
ALMS1		A0A1P8DS37	A0A1P8DS37_HUMAN	unreviewed	Alstrom syndrome 1 splice variant (Fragment)	ALMS1	Homo sapiens (Human)	133
ALMS1		A1YZ18	A1YZ18_HUMAN	unreviewed	Alstrom syndrome 1 splice variant (Fragment)	ALMS1	Homo sapiens (Human)	79
ALMS1		D6W5H5	D6W5H5_HUMAN	unreviewed	Alstrom syndrome 1, isoform CRA_c	ALMS1 hCG_1997291	Homo sapiens (Human)	4167
ALMS1		H7C1D9	H7C1D9_HUMAN	unreviewed	Alstrom syndrome protein 1 (Fragment)	ALMS1	Homo sapiens (Human)	1023
ALMS1		Q8TCU4	ALMS1_HUMAN	reviewed	Alstrom syndrome protein 1	ALMS1 KIAA0328	Homo sapiens (Human)	4167
ALS2		A0A0S2Z5I4	A0A0S2Z5I4_HUMAN	unreviewed	Amyotrophic lateral sclerosis 2 isoform 2	ALS2	Homo sapiens (Human)	657
ALS2		A0A0S2Z5Q7	A0A0S2Z5Q7_HUMAN	unreviewed	Amyotrophic lateral sclerosis 2 isoform 1 (Fragment)	ALS2	Homo sapiens (Human)	812
ALS2		H0Y696	H0Y696_HUMAN	unreviewed	Alsin (Fragment)	ALS2	Homo sapiens (Human)	585
ALS2		J3KQ33	J3KQ33_HUMAN	unreviewed	Alsin (Fragment)	ALS2	Homo sapiens (Human)	139
ALS2		J3KQ43	J3KQ43_HUMAN	unreviewed	Alsin (Fragment)	ALS2	Homo sapiens (Human)	106
ALS2		Q6IQ41	Q6IQ41_HUMAN	unreviewed	ALS2 protein	ALS2	Homo sapiens (Human)	1237
